"param","value"
"(Intercept)",-10.4925349558572
"age",0.113818377889126
"sexM",-1.3249699144214
"raceWhite",-0.0232926017968607
"marital_statusDivorced/Widowed",0.552413374164036
"marital_statusSingle",1.88002142143535
"edutot",0.49083682709026
"emp_statusUnemployed/Retired",-2.47869567563324
"thous",0.325158388152923
"onsetage",-0.182974634081556
"morethan3epi",-3.90323076126751
"chronicTRUE",-2.04885649986147
"baseline_hrsd",-0.230994911293403
"treatmentBUP",-1.93657003976656
"treatmentCIT+BUP",2.4576252918315
"treatmentCIT+BUS",2.17004358103373
"treatmentVEN",0.258848094184751
"age:treatmentBUP",-0.247456305350984
"age:treatmentCIT+BUP",-0.11961835983586
"age:treatmentCIT+BUS",-0.191432321393886
"age:treatmentVEN",-0.202914791618279
"sexM:treatmentBUP",-1.61688498903435
"sexM:treatmentCIT+BUP",1.47970777009179
"sexM:treatmentCIT+BUS",-0.216926293109655
"sexM:treatmentVEN",-0.736692008967291
"marital_statusDivorced/Widowed:treatmentBUP",-1.83110527786167
"marital_statusSingle:treatmentBUP",-3.594897211675
"marital_statusDivorced/Widowed:treatmentCIT+BUP",-0.307528539624252
"marital_statusSingle:treatmentCIT+BUP",-0.643754804440679
"marital_statusDivorced/Widowed:treatmentCIT+BUS",0.344011576394786
"marital_statusSingle:treatmentCIT+BUS",-5.20623193794262
"marital_statusDivorced/Widowed:treatmentVEN",0.0314832797348878
"marital_statusSingle:treatmentVEN",-4.53796369526051
"edutot:treatmentBUP",-0.434740359603547
"edutot:treatmentCIT+BUP",0.0396918083560475
"edutot:treatmentCIT+BUS",-0.125566340946877
"edutot:treatmentVEN",0.0827835044317021
"emp_statusUnemployed/Retired:treatmentBUP",3.96065809860573
"emp_statusUnemployed/Retired:treatmentCIT+BUP",2.81238573951499
"emp_statusUnemployed/Retired:treatmentCIT+BUS",2.20002327325016
"emp_statusUnemployed/Retired:treatmentVEN",4.39368669856199
"thous:treatmentBUP",-1.3206433685591
"thous:treatmentCIT+BUP",0.995055002672734
"thous:treatmentCIT+BUS",-1.16220467433836
"thous:treatmentVEN",0.0170221810210846
"onsetage:treatmentBUP",0.319148051524055
"onsetage:treatmentCIT+BUP",0.282928919156432
"onsetage:treatmentCIT+BUS",0.172473455162249
"onsetage:treatmentVEN",0.385268225352212
"morethan3epi:treatmentBUP",8.04853204345091
"morethan3epi:treatmentCIT+BUP",2.33626832975016
"morethan3epi:treatmentCIT+BUS",2.03684923370186
"morethan3epi:treatmentVEN",5.57818212396946
"chronicTRUE:treatmentBUP",2.07248441531332
"chronicTRUE:treatmentCIT+BUP",-0.264093379783052
"chronicTRUE:treatmentCIT+BUS",2.51279708498553
"chronicTRUE:treatmentVEN",1.93795811521227
"baseline_hrsd:treatmentBUP",-0.541617339446627
"baseline_hrsd:treatmentCIT+BUP",-0.166043204804415
"baseline_hrsd:treatmentCIT+BUS",-0.190030929953661
"baseline_hrsd:treatmentVEN",-0.412226376789256
