"","(Intercept)","age","sexM","raceWhite","marital_statusDivorced/Widowed","marital_statusSingle","edutot","emp_statusUnemployed/Retired","thous","onsetage","morethan3epi","chronicTRUE","baseline_hrsd","treatmentBUP","treatmentESCIT","age:treatmentBUP","age:treatmentESCIT","sexM:treatmentBUP","sexM:treatmentESCIT","marital_statusDivorced/Widowed:treatmentBUP","marital_statusSingle:treatmentBUP","marital_statusDivorced/Widowed:treatmentESCIT","marital_statusSingle:treatmentESCIT","edutot:treatmentBUP","edutot:treatmentESCIT","emp_statusUnemployed/Retired:treatmentBUP","emp_statusUnemployed/Retired:treatmentESCIT","thous:treatmentBUP","thous:treatmentESCIT","onsetage:treatmentBUP","onsetage:treatmentESCIT","morethan3epi:treatmentBUP","morethan3epi:treatmentESCIT","chronicTRUE:treatmentBUP","chronicTRUE:treatmentESCIT","baseline_hrsd:treatmentBUP","baseline_hrsd:treatmentESCIT"
"(Intercept)",1.74013793672163,0.00804804759026392,-0.287355684028027,-0.965982675421464,-0.775788828295741,-0.660131861770138,-0.023946733149722,-0.312327680187101,-0.0739218626235415,0.00102567604045145,-0.27425657135831,-0.226213016528064,0.0187691001908282,-0.74636741985969,-0.916502688361418,-0.0146872629818258,0.00108645365914683,0.0944104164033452,0.374657568427376,0.7834229308418,0.58097787292507,0.800830524167211,0.760327924005966,0.0285223022787582,0.0214717101080917,0.343977240314874,0.422325731809771,-0.0263153544780151,0.111933307983123,-0.00613404597307145,-0.00276479958718689,0.238622958784999,0.329611092230071,0.316416926059751,0.103122616691247,-0.0177296905722119,-0.00742488374390634
"age",0.00804804759026392,0.00186773319295933,-0.00476322843670025,-0.00165763162355262,-0.00605059128836297,0.0142927774966182,-0.000671474292172368,-0.00786509032245751,0.00338573497714382,-0.000311793423966323,-0.0115334588341112,0.000224626399356801,-4.76516931754645e-05,-0.00634273187682652,-0.00663468494029834,-0.00187912612335928,-0.00185205833820089,0.00443213328834273,0.00491303895407099,0.00606369145063279,-0.0144286061800702,0.00609356297723496,-0.0141208404986333,0.000679325994151123,0.000667227138918778,0.00791940114300765,0.00805384758854341,-0.00355774259710651,-0.00332050712628462,0.000303027432856364,0.000308809078323607,0.0114723113574889,0.0116284474986476,-6.98359907787865e-05,-0.000435850207522992,4.94353258403947e-05,6.71184314568933e-05
"sexM",-0.287355684028027,-0.00476322843670025,0.834983504900424,-0.0622438708123894,0.0466484718661216,-0.0910522405198393,-0.00711064785348505,0.0732600344144236,-0.00501549400910788,-0.00466097689457803,0.0794007698498309,-0.191450261215566,-0.00430163351622194,0.351390086758624,0.340427283860907,0.00433542525177488,0.00535181737330397,-0.847416088442002,-0.829358137745821,-0.0461565623270225,0.0859518895701624,-0.0450348900468957,0.0975084543965495,0.00740547833130545,0.00695116775267091,-0.0712206695458951,-0.0661722214659886,-0.00144337171448363,0.00746479207060967,0.00433181496834664,0.00454891506973984,-0.0816968503428116,-0.0758339567654035,0.197262622694217,0.183518832277314,0.00436860871119023,0.00503260722926698
"raceWhite",-0.965982675421464,-0.00165763162355262,-0.0622438708123894,1.26949148318489,0.125124488485827,0.0781498582305898,-0.00512913685409915,-0.105623100784017,0.0564551235869915,0.00549787629207425,-0.125245772569028,-0.248597421109206,0.00709408941292241,-0.340027504156589,-0.116436253663318,0.0103828682236195,-0.0103469020335434,0.315811952520997,-0.0524879991588906,-0.135157202747239,0.0258740722763179,-0.158034208755362,-0.209827217352531,-0.000884062127445581,0.00838180457991012,0.0640293454806672,-0.0389360028675939,0.0752763211338575,-0.106409649041065,0.00121552787906093,-0.00321232543597458,0.172075357434194,0.0524990302200307,0.130051718568011,0.410362448816854,-0.00846007836070368,-0.0220026240369928
"marital_statusDivorced/Widowed",-0.775788828295741,-0.00605059128836297,0.0466484718661216,0.125124488485827,1.45909463757914,0.658229107730404,0.0120945799081035,-0.0201398528098371,0.107469536455948,0.00176628896463362,0.0758468834360579,0.284533870033913,-0.0167462045435593,0.64706495906031,0.6691027129314,0.00691057403024182,0.00486739222539113,-0.0216561210387522,-0.0579567529639695,-1.4600834888292,-0.647976229891228,-1.46233830795384,-0.671207581728484,-0.0126872569419368,-0.0117739882453808,0.0160402606302344,0.00589171949034577,-0.0944857316360499,-0.112393188585785,-0.00110459782764021,-0.00154101893677939,-0.0712312338394535,-0.0830169976479251,-0.296218052707939,-0.268589874650788,0.016611569005919,0.0152767793495987
"marital_statusSingle",-0.660131861770138,0.0142927774966182,-0.0910522405198393,0.0781498582305898,0.658229107730404,1.28827785223389,-0.00604384834650151,-0.0480935113348091,0.115872946768057,-0.00180143884146711,0.0885892097388451,0.33387587860707,-0.00653117521602086,0.579733913667585,0.593498184447733,-0.0137556521890794,-0.0150317762341858,0.10666188414471,0.0839893499911912,-0.658846721324183,-1.28187414214258,-0.660255029138731,-1.29638390657444,0.00567367599470119,0.00624408247568659,0.0455330009861461,0.039194457181274,-0.107763562919638,-0.118948145880397,0.00221471580406847,0.00194213728470113,-0.0857063818769146,-0.0930674970504294,-0.341173548556137,-0.323917628276547,0.00644708497671827,0.00561340626464965
"edutot",-0.023946733149722,-0.000671474292172368,-0.00711064785348505,-0.00512913685409915,0.0120945799081035,-0.00604384834650151,0.0346317447146107,0.0216196882197951,0.00835803269535802,-0.0020785408923432,0.00278303014921332,-0.0173218444288457,0.000546456708521419,0.0292234167924486,0.0283200392287946,0.000636221647157484,0.000719976307989288,0.00608615465274926,0.00757419996896127,-0.0120540446503673,0.00562355960668861,-0.0119616144953157,0.0065758654608095,-0.0346074495374349,-0.0346448864947074,-0.0214516366290182,-0.0210356248873852,-0.00889026833215508,-0.00815620101635176,0.00205141667039549,0.00206930656246921,-0.00297223610512201,-0.00248911088930479,0.0178008056033418,0.016668263860319,-0.000540937692169475,-0.000486221633773943
"emp_statusUnemployed/Retired",-0.312327680187101,-0.00786509032245751,0.0732600344144236,-0.105623100784017,-0.0201398528098371,-0.0480935113348091,0.0216196882197951,0.888115353003744,-0.0161240592099485,-0.00776945814315729,0.0588762465528261,0.234930755335969,-0.0123825008059816,0.420989177053901,0.402386136782984,0.00713914095061832,0.00886388085010054,-0.0943571803225819,-0.0637142154580701,0.0209745857746563,0.03943860482979,0.0228779780724675,0.0590492138012937,-0.0211193833887072,-0.0218903137856778,-0.884654706385328,-0.876087875091143,0.00516385676158884,0.0202803311869893,0.00721089546293139,0.00757929777452278,-0.0627725200035774,-0.0528236368263236,-0.225067621275702,-0.248389785231962,0.012496152602951,0.013622907438084
"thous",-0.0739218626235415,0.00338573497714382,-0.00501549400910788,0.0564551235869915,0.107469536455948,0.115872946768057,0.00835803269535802,-0.0161240592099485,0.0943851931179904,-0.00150009364853129,-0.00177389614124055,-0.0489929366129269,-0.00358192428700001,0.0158427285209853,0.0257859789064856,-0.00299771795055714,-0.00391958450681165,0.0162918338508388,-8.6707923232232e-05,-0.107915697876519,-0.111246933966428,-0.10893305342289,-0.121728725779814,-0.0086254436202463,-0.0082133844162003,0.0142743574772464,0.00969542052243094,-0.0885270088839766,-0.0966067038138826,0.00179864316004121,0.00160173360260309,0.00385643866799923,-0.0014611994732335,0.0437211310306793,0.0561867340918804,0.00352117785751473,0.00291893191891316
"onsetage",0.00102567604045145,-0.000311793423966323,-0.00466097689457803,0.00549787629207425,0.00176628896463362,-0.00180143884146711,-0.0020785408923432,-0.00776945814315729,-0.00150009364853129,0.0051284164401992,0.00391910899390246,-0.00168741255226604,0.000296019923137635,-0.00668170642633162,-0.0057133840299354,0.000349580421422895,0.000259804543485474,0.00575912206791547,0.00416409949428388,-0.00180973834780286,0.00225194261318798,-0.00190881341103221,0.0012311744162949,0.00205249910745684,0.00209262744984484,0.00758932513383064,0.00714340583851656,0.00207059230602087,0.00128375206230281,-0.00509934222731909,-0.00511851824392729,-0.00371630080825637,-0.00423415844116837,0.00117401831830602,0.00238797976559576,-0.000301935707804735,-0.000360585365399294
"morethan3epi",-0.27425657135831,-0.0115334588341112,0.0794007698498309,-0.125245772569028,0.0758468834360579,0.0885892097388451,0.00278303014921332,0.0588762465528261,-0.00177389614124055,0.00391910899390246,1.34548905422676,-0.182047267670215,-0.00433961974148158,0.403105213583066,0.381046098355727,0.0106726425046615,0.0127178047806014,-0.104417345945925,-0.0680815275522841,-0.0748570736852386,-0.0988520257676054,-0.0726000689479072,-0.0755981556108556,-0.00218977862919061,-0.00310393256378287,-0.0547726806084945,-0.0446143024133428,-0.0112224939757727,0.00670232080315164,-0.00458144151296166,-0.0041445973776448,-1.35010917780632,-1.33831198997067,0.193742775908091,0.16608781765558,0.00447438578233454,0.00581046926004568
"chronicTRUE",-0.226213016528064,0.000224626399356801,-0.191450261215566,-0.248597421109206,0.284533870033913,0.33387587860707,-0.0173218444288457,0.234930755335969,-0.0489929366129269,-0.00168741255226604,-0.182047267670215,6.47548349978116,-0.0218645348469348,0.481961689824357,0.438177065042342,-0.00193324071152415,0.00212615432528871,0.141795441137345,0.213917561998351,-0.282569219679706,-0.354246303458421,-0.278089343468122,-0.308090237403665,0.0184993755735811,0.0166848926894507,-0.226785682730425,-0.206622554106064,0.0231967041290082,0.0587752521031114,0.000372764139170172,0.00123984590359907,0.172876891828154,0.196292855593882,-6.45226935748428,-6.50716104094347,0.0221320288271467,0.0247839898485257
"baseline_hrsd",0.0187691001908282,-4.76516931754645e-05,-0.00430163351622194,0.00709408941292241,-0.0167462045435593,-0.00653117521602086,0.000546456708521419,-0.0123825008059816,-0.00358192428700001,0.000296019923137635,-0.00433961974148158,-0.0218645348469348,0.0108096122028191,-0.02606726099839,-0.0248178029721203,9.64094906161336e-05,-1.94312579525094e-05,0.00571860611330527,0.00366049637204345,0.016690140384825,0.00711247495207644,0.0165623005936402,0.00579534439585273,-0.000580059274429009,-0.000528280363124015,0.012150069298524,0.011574685062166,0.00431805734478051,0.00330277166971563,-0.000258504516310607,-0.000283247957082159,0.00460130976981482,0.00393310114599808,0.0212020854926194,0.0227684996120727,-0.0108172455330627,-0.0108929231025294
"treatmentBUP",-0.74636741985969,-0.00634273187682652,0.351390086758624,-0.340027504156589,0.64706495906031,0.579733913667585,0.0292234167924486,0.420989177053901,0.0158427285209853,-0.00668170642633162,0.403105213583066,0.481961689824357,-0.02606726099839,11.7928685335864,1.03628839355947,-0.147477229492369,0.00955809146927165,-8.29927998984858,-0.320659678630418,-9.63008292994168,-2.40397567383766,-0.638250240573449,-0.544464733551595,-0.971218001080648,-0.0300946290087632,-5.05690533791018,-0.382269680413832,-1.67984269801228,-0.00246263669960437,0.173491715889669,0.00606953205295735,-8.92686052577368,-0.383620330412055,10.2603959095707,-0.525289714753877,0.379430047468139,0.030060444005917
"treatmentESCIT",-0.916502688361418,-0.00663468494029834,0.340427283860907,-0.116436253663318,0.6691027129314,0.593498184447733,0.0283200392287946,0.402386136782984,0.0257859789064856,-0.0057133840299354,0.381046098355727,0.438177065042342,-0.0248178029721203,1.03628839355947,5.86439318986894,0.00583441658442947,-0.00793819218361962,-0.363684247671858,-2.42767359286922,-0.668182524274642,-0.603039136017707,-4.91505512764918,-5.12305979184652,-0.0277685157477648,0.127265686618602,-0.398571206862256,-2.24759684845474,-0.0378682308287056,-0.805780450079473,0.00509763855911609,0.0313350223830688,-0.385341252355994,-1.04810913947109,-0.427304193759147,-3.44831760790545,0.024943089858824,-0.098070067080397
"age:treatmentBUP",-0.0146872629818258,-0.00187912612335928,0.00433542525177488,0.0103828682236195,0.00691057403024182,-0.0137556521890794,0.000636221647157484,0.00713914095061832,-0.00299771795055714,0.000349580421422895,0.0106726425046615,-0.00193324071152415,9.64094906161336e-05,-0.147477229492369,0.00583441658442947,0.0234228628279421,0.00178094390418052,-0.0431285000984147,-0.00527378986685104,-0.113599226193479,0.501980014949342,-0.00717973478741172,0.012678694457652,-0.0353738124832325,-0.000609618853188679,0.0629000591214861,-0.00832145539984464,0.13323548827191,0.00258915179486948,0.00516574421371012,-0.000330887445793212,0.0372290007699566,-0.0112676207691963,-0.0807318928163827,0.00325627831211117,0.0205749196784864,-0.000218342841457247
